Epoch,Accuracy,Loss
1,0.6418166666666667,0.26599560305904474
2,0.7645833333333333,0.18001883993844917
3,0.8183666666666667,0.14371721697342182
4,0.8465,0.12213385947779666
5,0.86105,0.10950048734930093
6,0.8728166666666667,0.1013035953154433
7,0.8809166666666667,0.09507814758270972
8,0.8897666666666667,0.08850263770316444
9,0.89455,0.08425105889164182
10,0.8976,0.08169336311375006
11,0.9025833333333333,0.07806180878438991
12,0.9034166666666666,0.07753201169092241
13,0.9072166666666667,0.0741984148253271
14,0.9091,0.07327404736684426
15,0.9093833333333333,0.0723867755772781
