Epoch,Accuracy,Loss
1,0.55175,0.302875207026391
2,0.7296,0.20120174433607405
3,0.7980333333333334,0.15606828730682626
4,0.82955,0.13352076610673644
5,0.8458,0.12075673719986121
6,0.8574333333333334,0.11190851247580295
7,0.86405,0.10635731702325181
8,0.8719,0.10102912112099213
9,0.8755333333333334,0.098038834900707
10,0.8821833333333333,0.09382765597539555
11,0.88415,0.09117065251132311
12,0.8868833333333334,0.08894043658106775
13,0.8889,0.08739584259535273
14,0.8936666666666667,0.08387420147447965
15,0.89585,0.08231062660086899
