Epoch,Accuracy,Loss
1,0.4822666666666667,0.33444685880296265
2,0.6689666666666667,0.2506903675482038
3,0.7735166666666666,0.18525551382545105
4,0.8144,0.1498937841024653
5,0.8402833333333334,0.12855645468516289
6,0.8573666666666667,0.11635643872935546
7,0.8663166666666666,0.10898715644177598
8,0.8709,0.10374463967389783
9,0.87765,0.09860939359429402
10,0.8825333333333333,0.09418763068350045
11,0.8878833333333334,0.0912646982521891
12,0.88855,0.08921582204881238
13,0.89415,0.08607017892316583
14,0.8946666666666667,0.08541535878133005
15,0.8981666666666667,0.08232161796308637
