Epoch,Accuracy,Loss
1,0.3905666666666667,0.36162269370714667
2,0.5073166666666666,0.2946872367690406
3,0.6784666666666667,0.23128396272913
4,0.74265,0.1891184465631301
5,0.8025666666666667,0.15672004976589093
6,0.8298333333333333,0.1351241188298365
7,0.8467666666666667,0.12296781712793377
8,0.8606,0.11207087938856809
9,0.8695666666666667,0.10490629155151247
10,0.8782666666666666,0.09868583598727707
11,0.88275,0.09481885228045442
12,0.8872166666666667,0.09166152368745406
13,0.88935,0.09023341652911161
14,0.8914333333333333,0.08817712772535627
15,0.8956,0.08495073672866565
