Epoch,Accuracy,Loss
1,0.47215,0.33065643894956703
2,0.6792,0.23781975858925958
3,0.7718333333333334,0.1734631916888426
4,0.8219333333333333,0.1409663884941838
5,0.8452,0.12279090306101996
6,0.8606333333333334,0.11090583429175767
7,0.8682833333333333,0.10437335509561547
8,0.8738,0.09970251051980257
9,0.87935,0.09571135921239836
10,0.8825833333333334,0.0928787877801997
11,0.88795,0.08934736798712326
12,0.8899833333333333,0.0876171479299071
13,0.8898,0.08736544868583082
14,0.8926,0.08463401903814555
15,0.8969833333333334,0.08169526339773266
