Epoch,Accuracy,Loss
1,0.5386166666666666,0.3129403430725834
2,0.7323,0.2008233116784737
3,0.8175,0.14576273057338762
4,0.8489,0.12079849766462843
5,0.8644666666666667,0.10876934607126079
6,0.87275,0.10142576998072253
7,0.8783333333333333,0.09742292954347741
8,0.8848166666666667,0.09310051843439153
9,0.8900166666666667,0.08843666665412842
10,0.8910666666666667,0.08671600783829508
11,0.8948833333333334,0.08467690838262953
12,0.8987833333333334,0.08123811601854622
13,0.9028,0.07846031167954842
14,0.9036,0.07704881434016803
15,0.9036666666666666,0.07720674872710817
