Epoch,Accuracy,Loss
1,0.6456666666666667,0.26491957497926755
2,0.80525,0.15844498274436217
3,0.8431166666666666,0.12634632862158404
4,0.86295,0.10895229513372154
5,0.8762166666666666,0.09936325361137377
6,0.884,0.09279296081315008
7,0.888,0.0894568310424348
8,0.8904666666666666,0.08718449436728226
9,0.8966833333333334,0.08261476136141488
10,0.9004833333333333,0.07986048126721222
11,0.90185,0.07840792238897577
12,0.90495,0.07612564119173737
13,0.9075833333333333,0.07438012953945546
14,0.9092666666666667,0.073012362936293
15,0.9109,0.07138199220155414
16,0.9101333333333333,0.07145794855487639
17,0.9135,0.06939419491483116
18,0.91505,0.06785457273434006
19,0.9169166666666667,0.0671606172902129
20,0.918,0.06638406238663457
