Epoch,Accuracy,Loss
1,0.5012833333333333,0.3235220551883309
2,0.6971166666666667,0.22684423669952936
3,0.7619833333333333,0.17562811514077392
4,0.80375,0.15097699088537525
5,0.83485,0.1308021185483443
6,0.85015,0.11785378596442274
7,0.8639,0.10769686859737777
8,0.8705333333333334,0.10175319346022478
9,0.8773166666666666,0.09652230816595721
10,0.8820166666666667,0.09268658975485038
11,0.88575,0.08988829093196245
12,0.8896,0.0872294468833203
13,0.8924166666666666,0.08449441993039826
14,0.8950666666666667,0.08251655379324814
15,0.89705,0.08083076012995327
