Epoch,Accuracy,Loss
1,0.28726666666666667,0.41148666110580134
2,0.3859166666666667,0.352419854097315
3,0.4665666666666667,0.3174489471031368
4,0.5354666666666666,0.2815940225135119
5,0.6918166666666666,0.2379474298855175
6,0.7663166666666666,0.17663007717975468
7,0.8034333333333333,0.15128541267666448
8,0.8329333333333333,0.13788835977363775
9,0.8552166666666666,0.1192517481496746
10,0.8698833333333333,0.10644862470790338
11,0.8754,0.10244215642977306
12,0.8816333333333334,0.09713084093417862
13,0.8869833333333333,0.09241864177220488
14,0.8914166666666666,0.08915567314232092
15,0.89605,0.08529795577646115
