Epoch,Accuracy,Loss
1,0.3891,0.369645300756133
2,0.5109333333333334,0.3084069749952705
3,0.60985,0.26647906008132266
4,0.68745,0.22442254469590037
5,0.7250666666666666,0.19464882602282124
6,0.7734166666666666,0.17152043729435557
7,0.8047333333333333,0.1512215040478125
8,0.8229166666666666,0.1392561694192669
9,0.8369833333333333,0.1281939265007323
10,0.8462333333333333,0.12082591234297968
11,0.85425,0.11557015184395711
12,0.8568333333333333,0.11313600836837234
13,0.8633,0.1079944270817287
14,0.8673666666666666,0.10513207310132927
15,0.8709166666666667,0.102243087999929
